Fiscal Year,Military Personnel Class,Unit Zip Code,Accession Total,Prior Service,Non-Prior Service
2013,Enlisted,08753,30,5,25
2013,Enlisted,08822,7,4,3
2013,Enlisted,08873,36,12,24
2013,Enlisted,10010,101,27,74
2013,Enlisted,10021,1,1,0
2013,Enlisted,10037,58,19,39
2013,Enlisted,10314,50,8,42
2013,Enlisted,10468,21,3,18
2013,Enlisted,10566,2,0,2
2013,Enlisted,10567,39,10,29
2013,Enlisted,10701,49,10,39
2013,Enlisted,10962,15,2,13
2013,Enlisted,11252,140,18,122
2013,Enlisted,11357,30,3,27
2013,Enlisted,11433,66,13,53
2013,Enlisted,11735,89,27,62
2013,Enlisted,11779,48,14,34
2013,Enlisted,12078,14,6,8
2013,Enlisted,12110,74,29,45
2013,Enlisted,12180,59,25,34
2013,Enlisted,12189,8,4,4
2013,Enlisted,12302,53,11,42
2013,Enlisted,12401,33,7,26
2013,Enlisted,12451,16,8,8
2013,Enlisted,12553,55,8,47
2013,Enlisted,12601,3,2,1
2013,Enlisted,12804,26,3,23
2013,Enlisted,12962,10,3,7
2013,Enlisted,12983,19,1,18
2013,Enlisted,13021,18,5,13
2013,Enlisted,13211,66,24,42
2013,Enlisted,13501,59,9,50
2013,Enlisted,13602,18,6,12
2013,Enlisted,13669,10,4,6
2013,Enlisted,13856,10,1,9
2013,Enlisted,13905,19,5,14
2013,Enlisted,14048,8,2,6
2013,Enlisted,14094,18,1,17
2013,Enlisted,14204,86,17,69
2013,Enlisted,14213,95,23,72
2013,Enlisted,14304,5,2,3
2013,Enlisted,14454,24,6,18
2013,Enlisted,14456,18,5,13
2013,Enlisted,14624,94,27,67
2013,Enlisted,14701,12,6,6
2013,Enlisted,14760,1,0,1
2013,Enlisted,14845,26,3,23
2013,Enlisted,14850,12,4,8
2013,Enlisted,15010,10,1,9
2013,Enlisted,15206,33,5,28
2013,Enlisted,15216,18,3,15
2013,Enlisted,15301,21,3,18
2013,Enlisted,15370,38,6,32
2013,Enlisted,15425,7,1,6
2013,Enlisted,15537,15,5,10
2013,Enlisted,15541,6,0,6
2013,Enlisted,15601,12,0,12
2013,Enlisted,15666,47,12,35
2013,Enlisted,15701,31,3,28
2013,Enlisted,15767,17,1,16
2013,Enlisted,15779,10,1,9
2013,Enlisted,15902,54,4,50
2013,Enlisted,15904,113,12,101
2013,Enlisted,16001,53,11,42
2013,Enlisted,16101,18,1,17
2013,Enlisted,16127,10,1,9
2013,Enlisted,16148,13,3,10
2013,Enlisted,16226,14,0,14
2013,Enlisted,16301,11,4,7
2013,Enlisted,16403,66,16,50
2013,Enlisted,16493,2,0,2
2013,Enlisted,16635,35,6,29
2013,Enlisted,16648,1,0,1
2013,Enlisted,16652,5,4,1
2013,Enlisted,16735,3,1,2
2013,Enlisted,16738,22,6,16
2013,Enlisted,16803,48,8,40
2013,Enlisted,16830,42,4,38
2013,Enlisted,16901,6,1,5
2013,Enlisted,17003,285,57,228
2013,Enlisted,17013,29,6,23
2013,Enlisted,17022,55,10,45
2013,Enlisted,17033,16,1,15
2013,Enlisted,17042,33,4,29
2013,Enlisted,17044,42,10,32
2013,Enlisted,17098,16,2,14
2013,Enlisted,17103,61,11,50
2013,Enlisted,17201,21,5,16
2013,Enlisted,17222,16,1,15
2013,Enlisted,17331,16,1,15
2013,Enlisted,17404,7,1,6
2013,Enlisted,17701,22,4,18
2013,Enlisted,17745,86,9,77
2013,Enlisted,17821,52,11,41
2013,Enlisted,17837,13,5,8
2013,Enlisted,17963,21,5,16
2013,Enlisted,18040,44,7,37
2013,Enlisted,18102,19,3,16
2013,Enlisted,18201,18,2,16
2013,Enlisted,18235,30,5,25
2013,Enlisted,18252,6,2,4
2013,Enlisted,18301,4,2,2
2013,Enlisted,18407,1,0,1
2013,Enlisted,18431,1,0,1
2013,Enlisted,18466,8,1,7
2013,Enlisted,18509,80,12,68
2013,Enlisted,18510,30,5,25
2013,Enlisted,18634,16,2,14
2013,Enlisted,18643,7,1,6
2013,Enlisted,18651,30,4,26
2013,Enlisted,18704,25,8,17
2013,Enlisted,18834,18,1,17
2013,Enlisted,18960,6,1,5
2013,Enlisted,19044,60,9,51
2013,Enlisted,19103,10,3,7
2013,Enlisted,19104,38,8,30
2013,Enlisted,19141,4,0,4
2013,Enlisted,19154,194,35,159
2013,Enlisted,19320,6,1,5
2013,Enlisted,19380,21,4,17
2013,Enlisted,19460,15,6,9
2013,Enlisted,19462,28,8,20
2013,Enlisted,19475,19,5,14
2013,Enlisted,19526,12,3,9
2013,Enlisted,19530,39,12,27
2013,Enlisted,19605,20,4,16
2013,Enlisted,19701,1,0,1
2013,Enlisted,19706,30,8,22
2013,Enlisted,19711,18,6,12
2013,Enlisted,19720,28,4,24
2013,Enlisted,19804,19,2,17
2013,Enlisted,19808,7,3,4
2013,Enlisted,19930,1,1,0
2013,Enlisted,19939,13,2,11
2013,Enlisted,19947,8,1,7
2013,Enlisted,19973,13,2,11
2013,Enlisted,19977,11,5,6
2013,Enlisted,20003,174,112,62
2013,Enlisted,20112,59,20,39
2013,Enlisted,20175,21,9,12
2013,Enlisted,20186,19,2,17
2013,Enlisted,20373,64,35,29
2013,Enlisted,20623,1,1,0
2013,Enlisted,20646,19,11,8
2013,Enlisted,20653,11,2,9
2013,Enlisted,20708,22,17,5
2013,Enlisted,20755,1,1,0
2013,Enlisted,20770,23,11,12
2013,Enlisted,20783,2,2,0
2013,Enlisted,20882,14,6,8
2013,Enlisted,20904,26,11,15
2013,Enlisted,21010,85,27,58
2013,Enlisted,21043,22,13,9
2013,Enlisted,21057,15,12,3
2013,Enlisted,21061,32,14,18
2013,Enlisted,21078,15,5,10
2013,Enlisted,21136,42,17,25
2013,Enlisted,21157,22,5,17
2013,Enlisted,21201,1,1,0
2013,Enlisted,21204,21,7,14
2013,Enlisted,21208,29,12,17
2013,Enlisted,21216,20,10,10
2013,Enlisted,21222,1,1,0
2013,Enlisted,21228,27,6,21
2013,Enlisted,21236,29,8,21
2013,Enlisted,21401,10,5,5
2013,Enlisted,21502,9,1,8
2013,Enlisted,21601,17,9,8
2013,Enlisted,21701,23,13,10
2013,Enlisted,21719,26,4,22
2013,Enlisted,21740,21,6,15
2013,Enlisted,21801,4,2,2
2013,Enlisted,21921,9,1,8
2013,Enlisted,22032,19,5,14
2013,Enlisted,22060,16,7,9
2013,Enlisted,22401,64,13,51
2013,Enlisted,22427,51,12,39
2013,Enlisted,22601,54,17,37
2013,Enlisted,22664,6,1,5
2013,Enlisted,22731,8,2,6
2013,Enlisted,22801,14,4,10
2013,Enlisted,22902,19,2,17
2013,Enlisted,23139,24,5,19
2013,Enlisted,23150,91,26,65
2013,Enlisted,23181,10,3,7
2013,Enlisted,23237,12,1,11
2013,Enlisted,23417,12,2,10
2013,Enlisted,23434,21,5,16
2013,Enlisted,23451,70,11,59
2013,Enlisted,23502,77,11,66
2013,Enlisted,23666,27,11,16
2013,Enlisted,23701,42,8,34
2013,Enlisted,23805,24,7,17
2013,Enlisted,23824,67,16,51
2013,Enlisted,23847,5,3,2
2013,Enlisted,23851,9,1,8
2013,Enlisted,23901,12,3,9
2013,Enlisted,24073,20,2,18
2013,Enlisted,24112,7,1,6
2013,Enlisted,24143,12,0,12
2013,Enlisted,24151,35,4,31
2013,Enlisted,24210,19,4,15
2013,Enlisted,24251,35,5,30
2013,Enlisted,24301,9,3,6
2013,Enlisted,24401,25,5,20
2013,Enlisted,24422,4,2,2
2013,Enlisted,24450,21,3,18
2013,Enlisted,24502,71,10,61
2013,Enlisted,24523,22,3,19
2013,Enlisted,24531,8,3,5
2013,Enlisted,24541,12,1,11
2013,Enlisted,24592,11,0,11
2013,Enlisted,24609,35,1,34
2013,Enlisted,24701,17,3,14
2013,Enlisted,24801,6,3,3
2013,Enlisted,24957,16,2,14
2013,Enlisted,25064,10,3,7
2013,Enlisted,25168,78,16,62
2013,Enlisted,25177,1,1,0
2013,Enlisted,25262,3,0,3
2013,Enlisted,25276,9,1,8
2013,Enlisted,25304,1,1,0
2013,Enlisted,25309,1,0,1
2013,Enlisted,25311,7,3,4
2013,Enlisted,25401,23,2,21
2013,Enlisted,25530,36,16,20
2013,Enlisted,25550,16,5,11
2013,Enlisted,25601,10,0,10
2013,Enlisted,25661,22,3,19
2013,Enlisted,25704,24,3,21
2013,Enlisted,25846,45,5,40
2013,Enlisted,26003,12,3,9
2013,Enlisted,26041,31,3,28
2013,Enlisted,26101,20,4,16
2013,Enlisted,26187,32,6,26
2013,Enlisted,26201,20,2,18
2013,Enlisted,26241,9,1,8
2013,Enlisted,26301,12,2,10
2013,Enlisted,26330,1,0,1
2013,Enlisted,26426,11,2,9
2013,Enlisted,26452,7,1,6
2013,Enlisted,26505,7,2,5
2013,Enlisted,26537,22,13,9
2013,Enlisted,26554,10,2,8
2013,Enlisted,26624,6,2,4
2013,Enlisted,26651,5,1,4
2013,Enlisted,26726,7,3,4
2013,Enlisted,26836,5,2,3
2013,Enlisted,27028,1,0,1
2013,Enlisted,27103,53,16,37
2013,Enlisted,27204,6,3,3
2013,Enlisted,27217,10,4,6
2013,Enlisted,27260,13,2,11
2013,Enlisted,27264,5,0,5
2013,Enlisted,27320,23,2,21
2013,Enlisted,27344,8,1,7
2013,Enlisted,27360,23,3,20
2013,Enlisted,27401,25,6,19
2013,Enlisted,27504,33,11,22
2013,Enlisted,27509,14,0,14
2013,Enlisted,27515,10,3,7
2013,Enlisted,27530,27,5,22
2013,Enlisted,27549,9,0,9
2013,Enlisted,27560,80,17,63
2013,Enlisted,27577,26,12,14
2013,Enlisted,27581,6,2,4
2013,Enlisted,27607,28,10,18
2013,Enlisted,27704,69,18,51
2013,Enlisted,27803,15,3,12
2013,Enlisted,27828,3,1,2
2013,Enlisted,27830,1,0,1
2013,Enlisted,27856,16,3,13
2013,Enlisted,27870,17,14,3
2013,Enlisted,27874,9,2,7
